Rank,Name,Physical Location,Mailing Address,Landmark Address,Telephone,Contact First Name,Contact Last Name,Contact Title,Contact Gender,Contact Email,Toll-Free Phone,Fax Number,Web Url,Census Tract,Census Block Grp,Business Description,NAICS-Primary,Private-Govt,Business Location Status,Emp Size,Annual Sales,Yr. Estab,Last Update,Release,"$1,372,276,000"
31,Akita Enterprises Ltd,"2960 Aukele St
Lihue, HI 96766
(21.965646, -159.355465)",,,8082455344,Lindy,Akita,CEO,F,WWAKITA@GMAIL.COM,8883455344,8082453246,http://AKITAENTERPRISES.COM,40500,1,Buses-School Transportation Service,48541000,Private,Single location,100-249,"$9,810,000",1990,201608,172,
50,Allerton Garden Tours,"4425 Lawai Rd
Koloa, HI 96756
(21.883133, -159.468255)",,,8087422623,Nani,Kulani,Manager,F,,,,,40604,1,Botanical Gardens,71213000,Private,Single location,100-249,,2000,201410,172,
15,Aqua Kauai Beach Resort,"4331 Kauai Beach Dr
Lihue, HI 96766
(22.010144, -159.338728)",,,8089547419,Mark,Burson,General Mgr,M,,8665367976,8082469085,,40400,1,Resorts,72119900,Private,Branch office,250-499,"$26,536,000",1986,201502,172,
39,Aston Aloha Beach Hotel,"3-5920 Kuhio Hwy
Kapaa, HI 96746
(22.181543, -159.357043)",,,8088236000,Ray,Blouin,General Mgr,M,RAY.BLOUIN@HILTON.COM,8779976667,8088236666,,940000,1,Hotels & Motels,72111000,Private,Branch office,100-249,"$13,587,000",2004,201608,172,
3,Business Center At Grand Hyatt,"1571 Poipu Rd
Koloa, HI 96756
(21.877327, -159.440047)",,,8082406328,Doug,Sears,General Mgr,M,DOUG.SEARS@HYATT.COM,,8087428691,,40603,2,Signs (mfrs),33995000,Private,Single location,500-999,"$112,092,000",2008,201610,172,
44,Chiefess Kamakahelei Middle,"4431 Nuhou St
Lihue, HI 96766
(21.967072, -159.387234)",,,8082413200,Debra,Badua,Principal,F,DEBRA_BADUA@NOTES.K12.HI.US,,8082413210,http://CKMS.K12.HI.US,40400,4,Schools,61111000,Private,Single location,100-249,,2001,201608,172,
24,Costco Wholesale,"4300 Nuhou St
Lihue, HI 96766
(21.966432, -159.380179)",,,8082414000,Fidel,Cardoso,Site Manager,M,,8007742678,4253136922,http://COSTCO.COM,40400,2,Wholesale Clubs,45231100,Private,Branch office,100-249,"$86,875,000",2006,201612,172,
27,Courtyard-Kauai At Coconut Beach,"650 Aleka Loop
Kapaa, HI 96746
(22.057658, -159.323282)",,,8088223455,Joeac,Mottershead,General Mgr,M,,8003212211,8088220035,http://MARRIOTT.COM,40205,1,Hotels & Motels,72111000,Private,Branch office,100-249,"$19,106,000",1978,201611,172,
23,Creative Partition Systems,"4023 Halau St
Lihue, HI 96766
(21.97092, -159.357261)",,,8082461700,Conrad,Murashige,Owner,M,CHM@SHIOI.COM,,8082453977,,40500,2,Dry Wall Contractors,23831000,Private,Single location,100-249,"$30,478,000",2001,201507,172,
34,Duke's Kauai,"3610 Rice St # 15C
Lihue, HI 96766
(21.965581, -159.357213)","PO Box 1988
Lihue, HI 96766","Kauai Marriott Resort
Lihue, HI 96766",8082469599,Jaime,Arreola,General Mgr,M,,,8082461047,http://DUKESKAUAI.COM,40500,1,Full-Service Restaurant,72251100,Private,Single location,100-249,"$8,957,000",1989,201505,172,
